
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCIÓN, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 22, 0]
[1][2, (0,1), 0, E, 1, 21, 1]
[3][4, (1,1), 1, S, 2, 20, 2]
[7][7, (1,2), 3, E, 3, 19, 3]
[9][9, (2,2), 7, S, 4, 18, 4]
[13][12, (2,1), 9, O, 5, 19, 5]
[15][16, (3,1), 13, S, 6, 18, 6]
[17][20, (4,1), 15, S, 7, 17, 7]
[19][22, (4,0), 17, O, 8, 18, 8]
[22][25, (5,0), 19, S, 9, 17, 9]
[26][26, (6,0), 22, S, 10, 16, 10]
[29][30, (6,1), 26, E, 11, 15, 11]
[30][34, (5,1), 29, N, 12, 16, 12]
[33][35, (5,2), 30, E, 13, 15, 13]
[36][39, (5,3), 33, E, 14, 14, 14]
[38][43, (5,4), 36, E, 15, 13, 15]
[41][44, (6,4), 38, S, 16, 12, 16]
[47][45, (7,4), 41, S, 17, 11, 17]
[56][49, (7,5), 47, E, 18, 10, 18]
[66][53, (8,5), 56, S, 19, 9, 19]
[79][57, (8,6), 66, E, 20, 8, 20]
[87][60, (8,7), 79, E, 21, 7, 21]
[97][61, (7,7), 87, N, 22, 8, 22]
[110][62, (7,8), 97, E, 23, 7, 23]
[123][65, (6,8), 110, N, 24, 8, 24]
[134][67, (6,9), 123, E, 25, 7, 25]
[146][71, (6,10), 134, E, 26, 6, 26]
[157][72, (7,10), 146, S, 27, 5, 27]
[169][73, (7,11), 157, E, 28, 4, 28]
[181][77, (8,11), 169, S, 29, 3, 29]
[195][81, (9,11), 181, S, 30, 2, 30]
[207][84, (9,12), 195, E, 31, 1, 31]
[220][85, (10,12), 207, S, 32, 0, 32]
