
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCIÓN, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 38, 38]
[1][1, (1,0), 0, S, 1, 37, 38]
[4][3, (2,0), 1, S, 2, 36, 39]
[8][6, (2,1), 4, E, 3, 35, 41]
[14][8, (3,1), 8, S, 4, 34, 42]
[19][11, (3,0), 14, O, 5, 35, 46]
[23][12, (4,0), 19, S, 6, 34, 46]
[25][14, (4,1), 23, E, 7, 33, 47]
[26][18, (5,1), 25, S, 8, 32, 50]
[29][20, (6,1), 26, S, 9, 31, 51]
[32][22, (6,2), 29, E, 10, 30, 52]
[35][25, (7,2), 32, S, 11, 29, 54]
[40][27, (8,2), 35, S, 12, 28, 55]
[43][31, (9,2), 40, S, 13, 27, 58]
[49][32, (9,3), 43, E, 14, 26, 58]
[52][35, (8,3), 49, N, 15, 27, 62]
[59][36, (8,4), 52, E, 16, 26, 62]
[61][39, (7,4), 59, N, 17, 27, 66]
[74][42, (7,5), 61, E, 18, 26, 68]
[78][43, (7,6), 74, E, 19, 25, 68]
[81][45, (7,7), 78, E, 20, 24, 69]
[84][47, (7,8), 81, E, 21, 23, 70]
[91][48, (6,8), 84, N, 22, 24, 72]
[101][50, (5,8), 91, N, 23, 25, 75]
[122][53, (5,9), 101, E, 24, 24, 77]
[134][54, (4,9), 122, N, 25, 25, 79]
[144][56, (3,9), 134, N, 26, 26, 82]
[151][60, (2,9), 144, N, 27, 27, 87]
[189][61, (2,10), 151, E, 28, 26, 87]
[191][64, (1,10), 189, N, 29, 27, 91]
[219][68, (1,11), 191, E, 30, 26, 94]
[244][70, (2,11), 219, S, 31, 25, 95]
[263][74, (2,12), 244, E, 32, 24, 98]
[300][77, (3,12), 263, S, 33, 23, 100]
[320][78, (3,13), 300, E, 34, 22, 100]
[323][80, (3,14), 320, E, 35, 21, 101]
[333][81, (4,14), 323, S, 36, 20, 101]
[336][84, (4,15), 333, E, 37, 19, 103]
[356][85, (5,15), 336, S, 38, 18, 103]
[359][87, (6,15), 356, S, 39, 17, 104]
[384][90, (6,16), 359, E, 40, 16, 106]
[405][92, (6,17), 384, E, 41, 15, 107]
[427][94, (7,17), 405, S, 42, 14, 108]
[446][97, (7,16), 427, O, 43, 15, 112]
[514][101, (7,15), 446, O, 44, 16, 117]
[564][104, (8,15), 514, S, 45, 15, 119]
[582][105, (9,15), 564, S, 46, 14, 119]
[584][107, (9,16), 582, E, 47, 13, 120]
[597][108, (8,16), 584, N, 48, 14, 122]
[609][111, (8,17), 597, E, 49, 13, 124]
[621][113, (9,17), 609, S, 50, 12, 125]
[629][116, (10,17), 621, S, 51, 11, 127]
[640][117, (11,17), 629, S, 52, 10, 127]
[644][119, (12,17), 640, S, 53, 9, 128]
[665][120, (13,17), 644, S, 54, 8, 128]
[668][122, (14,17), 665, S, 55, 7, 129]
[678][126, (14,18), 668, E, 56, 6, 132]
[706][128, (14,19), 678, E, 57, 5, 133]
[715][131, (15,19), 706, S, 58, 4, 135]
[724][134, (16,19), 715, S, 59, 3, 137]
[736][135, (17,19), 724, S, 60, 2, 137]
[739][139, (17,18), 736, O, 61, 3, 142]
[755][140, (18,18), 739, S, 62, 2, 142]
[757][141, (18,17), 755, O, 63, 3, 144]
[759][143, (19,17), 757, S, 64, 2, 145]
[766][146, (19,18), 759, E, 65, 1, 147]
[769][147, (19,19), 766, E, 66, 0, 147]
