
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCIÓN, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 12, 0]
[1][4, (0,1), 0, E, 1, 11, 4]
[2][5, (0,2), 1, E, 2, 10, 5]
[5][8, (1,2), 2, S, 3, 9, 8]
[13][10, (1,1), 5, O, 4, 10, 10]
[15][13, (1,0), 13, O, 5, 11, 13]
[17][15, (2,0), 15, S, 6, 10, 15]
[20][19, (3,0), 17, S, 7, 9, 19]
[25][22, (4,0), 20, S, 8, 8, 22]
[30][23, (4,1), 25, E, 9, 7, 23]
[33][26, (4,2), 30, E, 10, 6, 26]
[37][30, (4,3), 33, E, 11, 5, 30]
[43][34, (3,3), 37, N, 12, 6, 34]
[52][35, (3,4), 43, E, 13, 5, 35]
[56][36, (3,5), 52, E, 14, 4, 36]
[61][40, (3,6), 56, E, 15, 3, 40]
[75][42, (4,6), 61, S, 16, 2, 42]
[80][45, (4,7), 75, E, 17, 1, 45]
[85][46, (4,8), 80, E, 18, 0, 46]
