
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCIÓN, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 10, 1]
[1][4, (1,0), 0, S, 1, 9, 0.5]
[3][5, (2,0), 1, S, 2, 8, 0.3333333333333333]
[5][9, (2,1), 3, E, 3, 7, 0.25]
[7][10, (2,2), 5, E, 4, 6, 0.2]
[17][13, (3,2), 7, S, 5, 5, 0.16666666666666666]
[33][15, (3,1), 17, O, 6, 6, 0.14285714285714285]
[35][19, (4,1), 33, S, 7, 5, 0.125]
[39][22, (5,1), 35, S, 8, 4, 0.1111111111111111]
[42][25, (6,1), 39, S, 9, 3, 0.1]
[49][26, (6,2), 42, E, 10, 2, 0.09090909090909091]
[52][28, (6,3), 49, E, 11, 1, 0.08333333333333333]
[54][32, (6,4), 52, E, 12, 0, 0.07692307692307693]
