
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCIÓN, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 12, 12]
[2][1, (1,0), 0, S, 1, 11, 11]
[55][5, (2,0), 2, S, 2, 10, 10]
[58][9, (3,0), 55, S, 3, 9, 9]
[61][12, (3,1), 58, E, 4, 8, 8]
[62][16, (4,1), 61, S, 5, 7, 7]
[65][20, (4,2), 62, E, 6, 6, 6]
[67][23, (5,2), 65, S, 7, 5, 5]
[70][27, (5,3), 67, E, 8, 4, 4]
[72][31, (6,3), 70, S, 9, 3, 3]
[75][35, (6,4), 72, E, 10, 2, 2]
[76][37, (5,4), 75, N, 11, 3, 3]
[78][40, (5,5), 76, E, 12, 2, 2]
[80][44, (5,6), 78, E, 13, 1, 1]
[82][48, (6,6), 80, S, 14, 0, 0]
